asin,title,brand_name,price_value,review_count,avg_review_rating,rating_variability,avg_sentiment,is_successful
B00021NY28,Gloria Vanderbilt Women's Amanda Classic High Rise Tapered Jean,Gloria Vanderbilt Store,16.7665,10,4.4000000000000000,0.69920589878010103133,0.269061891481534,0
B0006U6C0Q,Wrangler Men's Cowboy Cut Slim Fit Jeans,Wrangler Store,29.9843,10,4.5000000000000000,0.70710678118654752440,0.306232783585462,0
B0007CKJSY,Wrangler Men's 13MWZ Cowboy Cut Original Fit Jeans,Wrangler Store,18.9464,10,4.9000000000000000,0.31622776601683793320,0.169828537654889,0
B0008EOG9E,Lee Men's Regular Fit Straight Leg Jean,Lee Store,34.905,10,4.8000000000000000,0.42163702135578391094,0.270510871073371,0
B0008EOGAS,Lee Men's Regular Fit Straight Leg Jean,Lee Store,31.98,10,4.6000000000000000,0.69920589878010103133,0.264619787653121,0
B000J9YQOS,"Champion Men's Shorts, Men's Mesh Gym Shorts, Lightweight Athletic Shorts (Reg. Or Big & Tall)",Champion Store,14.2952,10,4.6000000000000000,0.69920589878010103133,0.372577074160407,0
B000SKI752,Hanes Men's 6-12 6-Pack Cushion Crew Socks,Hanes Store,12,2,5.0000000000000000,0,0.468452380952381,0
B000U62IYK,"Russell Athletic Men's Dri Power Fleece Open Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking",Russell Athletic Store,20.99,10,4.1000000000000000,1.2866839377079189,0.248794934320783,0
B000W93PX8,Rockport Men's Eureka Walking Shoe,Rockport Store,69.953,10,4.5000000000000000,0.70710678118654752440,0.151157697002287,0
B0018OMIOI,Levi's Men's 550 Relaxed Fit Jeans (Also Available in Big & Tall),Levi's Store,43.7937,10,4.5000000000000000,0.70710678118654752440,0.246886675342195,0
B0018ON68A,Levi's Men's 501 Original Fit Jeans (Also Available in Big & Tall),Levi's Store,55.653,10,4.6000000000000000,0.69920589878010103133,0.273449865853076,0
B001NSEC9I,Haggar Men’s Hidden Expandable Waistband Classic Fit Pleated Front Gabardine Dress Pant,Haggar Store,65,10,4.5000000000000000,0.70710678118654752440,0.313216931250265,0
B001NZCXNI,Merrell Men's Jungle Leather Slip-On Shoe,Merrell Store,62.0738,10,4.9000000000000000,0.31622776601683793320,0.305844385578761,0
B002GHC19I,Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt,Carhartt Store,19.99,11,4.9090909090909091,0.30151134457776362265,0.339767990004791,0
B005LCMU00,"U.S. Polo Assn. Men's Classic Polo Shirt, Two-Button Closure Pique Polo Shirt, Summer Fashion Golf Shirt",U.S. Polo Assn. Store,19.989,10,4.5000000000000000,0.70710678118654752440,0.308432579847054,0
B005OLALQI,PUMA Men's Roma Sneaker,PUMA Store,46.9933,10,4.4000000000000000,0.69920589878010103133,0.20843256362374,0
B0076R6L58,Columbia Steens Mountain™ Full Zip 2.0,Columbia Store,45.95,10,4.9000000000000000,0.31622776601683793320,0.538783068783069,0
B008KWXQ38,LONDON FOG Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes),Brand: LONDON FOG,44.6026,1,5.0000000000000000,,0.361588411588412,0
B00ACIGNMY,"Hanes Men's Tagless Briefs, Soft Moisture Wicking Underwear, Tagless, 7-pack",Hanes Store,24.0043,10,4.7000000000000000,0.67494855771055289778,0.22497690274009,0
B00B6EDB64,Dickies Men's Heavyweight Crew Neck Short Sleeve Tee,Dickies Store,16.99,9,4.6666666666666667,0.70710678118654752440,0.171858676269827,0
B00BBW2XZG,Dockers Men's Perfect Classic Fit Shorts (Regular and Big & Tall),DOCKERS Store,23.6416,11,4.8181818181818182,0.40451991747794525174,0.411435799049435,0
B00CAXQYMS,"Hanes Men's Underwear Boxer Briefs Pack, Cotton ComfortSoft Boxer Brief for Men, Moisture-Wicking Breathable, Multipack",Hanes Store,18,10,4.9000000000000000,0.31622776601683793320,0.346518398268398,0
B00CAXS2Q4,"Hanes Men's Boxers, Cotton Knit Comfortable Boxer Underwear, Moisture-wicking Cotton Boxers, 5-pack",Hanes Store,20,10,4.9000000000000000,0.31622776601683793320,0.42368253968254,0
B00D881IBG,Skechers Men's Afterburn Memory Fit Lace-up Sneaker,Skechers Store,60.8424,10,4.7000000000000000,0.48304589153964795245,0.28338833669667,0
B00EUHD56A,Legendary Whitetails Journeyman Shirt Jacket Flannel Lined Shacket for Men Water-Resistant Coat Rugged Fall Clothing,Legendary Whitetails Store,86.46,10,4.6000000000000000,0.69920589878010103133,0.23440803823943,0
B00G99WZJU,"Hanes Men's Tagless Boxer Underwear, Exposed Waistband, Multi-packs Available",Hanes Store,22.99,10,4.9000000000000000,0.31622776601683793320,0.355162962962963,0
B00GZIT5A2,U.S. Polo Assn. Men's Crew Neck Pocket T-Shirt (Color Group 2 of 2),Brand: U.S. Polo Assn.,12.0054,1,5.0000000000000000,,0.8,0
B00H383N8I,"Jerzees Men's Dri-Power Cotton Blend Long Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-3x",Jerzees Store,10.74,10,4.5000000000000000,0.70710678118654752440,0.215839441355746,0
B00IO9H6QU,Hanes Men's Double Tough Ankle Socks,Hanes Store,11.8321,10,4.7000000000000000,0.67494855771055289778,0.267502204568254,0
B00IO9JCY4,Hanes Men's FreshIQ Over The Calf Tube Socks (Pack of 12),Hanes Store,14.98,10,4.8000000000000000,0.42163702135578391094,0.447070707070707,0
B00JUM2V8I,Hanes Men's EcoSmart Fleece Hoodie Sweatshirt,Hanes Store,12.4643,3,5.0000000000000000,0,0.221178702250131,0
B00JUM4CT4,Hanes Men's EcoSmart Fleece Full-Zip Hoodie Sweatshirt,Hanes Store,13.3544,10,2.9000000000000000,1.8529256146249728,0.12617735042735,0
B00MGBBMTY,Levi's Men's 541 Athletic Fit Jeans (Also Available in Big & Tall),Levi's Store,43.2638,10,4.9000000000000000,0.31622776601683793320,0.256101592403311,0
B00MU2OR3W,Skechers Men's Expected Avillo Relaxed-Fit Slip-On Loafer,Skechers Store,42.1435,10,4.8000000000000000,0.42163702135578391094,0.288568618542502,0
B00NOY3JKW,"Hanes Men's Beefy-T T-Shirt, Heavyweight Cotton Tee, 1 Or 2 Pack, Big & Tall",Hanes Store,8.1932,12,4.5000000000000000,0.79772403521746564186,0.220930004976164,0
B00PUAO7MM,"U.S. Polo Assn. Men's Solid Short Sleeve Interlock Polo Shirt, Golf Shirts for Men, Business Casual Polos",Brand: U.S. Polo Assn.,17.5,10,4.6000000000000000,0.69920589878010103133,0.468166666666667,0
B00PWP0JFO,"Hanes Men's Boxer Briefs, Soft and Breathable Cotton Underwear with ComfortFlex Waistband, Multipack",Hanes Store,17.5,10,4.7000000000000000,0.48304589153964795245,0.370345288115246,0
B00QNAL9U6,Lee Men's Extreme Motion Flat Front Regular Straight Pant,Lee Store,36.9012,11,4.4545454545454545,0.82019953226472442757,0.247885630555057,0
B00SMJOETO,Clarks Men's Tilden Cap Oxford,Clarks Store,58.2035,10,4.6000000000000000,0.69920589878010103133,0.305877643606394,0
B00UV3TGUG,Levi's Men's 559 Relaxed Straight Jeans (Also Available in Big & Tall),Levi's Store,46.9932,10,2.9000000000000000,2.0248456731316587,0.184124995044638,0
B00VTV5XU6,"Fruit of the Loom Men's Cotton Briefs, Tag Free & Moisture Wicking, Assorted Color Multipacks",Fruit of the Loom Store,11.2036,10,4.8000000000000000,0.42163702135578391094,0.356398938363224,0
B00XKYM2AE,Wrangler Authentics Men's Premium Twill Cargo Short,Wrangler Authentics Store,27.87,11,4.7272727272727273,0.64666979068286325959,0.298067567203995,0
B00XPFFXKO,Hanes Boys' Eco Smart Pullover Hoodie,Hanes Store,14.003,10,4.6000000000000000,0.69920589878010103133,0.321253497232226,0
B00XPFM1RC,"Hanes Boys EcoSmart Fleece Sweatpants, Midweight Cotton/Poly Fleece Pants for Boys, Cuffed Sweats",Hanes Store,12.0025,10,4.6000000000000000,0.69920589878010103133,0.382676190442857,0
B00YKRP324,Dockers Men's Relaxed Fit Comfort Khaki Pants - Pleated,DOCKERS Store,49.99,10,4.5000000000000000,0.70710678118654752440,0.300452380952381,0
B010C7M9Z4,"Hanes Men's Cool Dri Polo Shirt, Quick-Drying Performance Polo For Men, 40+ Upf Protection",Hanes Store,16.4625,10,4.7000000000000000,0.67494855771055289778,0.299661532563211,0
B0132MFEA8,Hanes Men's Short Sleeve X-Temp Performance Polo,Hanes Store,12.5434,10,4.7000000000000000,0.67494855771055289778,0.323843694885362,0
B0151E6WTW,"Hanes Men's Athletic Shorts, Favorite Cotton Jersey Shorts, Pull-On Knit Shorts with Pockets, Knit Gym Shorts, 7.5"" Inseam",Hanes Store,9.9038,11,4.4545454545454545,0.68755165095232861878,0.302589799089799,0
B016Y8268U,Lee Men's Extreme Motion Flat Front Short,Lee Store,34.99,12,4.7500000000000000,0.45226701686664543397,0.247250414928986,0
